title,channel_id,channel_link,likes,views,comments,duration,date,thumb,family_friend,extraction_date
Um Novo Começo,UCSRhHqL5nIlhyt1-LIzsXJA,http://www.youtube.com/channel/UCSRhHqL5nIlhyt1-LIzsXJA,69894,567147,11000,00:02:13,2024-09-01T08:00:07-07:00,http://img.youtube.com/vi/WqT8LnucCEI/maxresdefault.jpg,1,2024-09-04
MC Daniel - NÃO PARA  feat. Ludmilla (CLIPE OFICIAL),UCwnSOhrpJLe-bwARGDMQEVA,http://www.youtube.com/channel/UCwnSOhrpJLe-bwARGDMQEVA,30253,946945,1000,00:02:17,2024-08-27T16:00:07-07:00,http://img.youtube.com/vi/i6OoPQ9lZu0/maxresdefault.jpg,1,2024-09-04
INVENTA ALGUMA COISA,UCEWHPFNilsT0IfQfutVzsag,http://www.youtube.com/channel/UCEWHPFNilsT0IfQfutVzsag,22725,262036,215,00:03:22,2024-09-02T07:00:15-07:00,http://img.youtube.com/vi/K3qZZ0VjFo4/maxresdefault.jpg,1,2024-09-04
ESCAPE DA PRISÃO DA FAMÍLIA RYLEI DIVERTIDA MENTE 2 no ROBLOX..,UCTpxFPoPp7U6zJ2J2vhAPNg,http://www.youtube.com/channel/UCTpxFPoPp7U6zJ2J2vhAPNg,2302,117350,85,00:20:48,2024-09-02T13:01:54-07:00,http://img.youtube.com/vi/9zFCmnA_14k/maxresdefault.jpg,1,2024-09-04
Debate Prefeitura de São Paulo - 1º Turno - Completo - TV Gazeta (01/09/2024),UCNl_i-ggJbZNyOLlhE7yyhw,http://www.youtube.com/channel/UCNl_i-ggJbZNyOLlhE7yyhw,98090,2783927,15000,02:35:38,2024-09-01T17:11:34-07:00,http://img.youtube.com/vi/8_13HMgZGiM/maxresdefault.jpg,1,2024-09-04
FLUTV - BASTIDORES - FLUMINENSE 2 X 0 SÃO PAULO - CAMPEONATO BRASILEIRO 2024,UCAAPXtnzlg9krw6MtNbfR-g,http://www.youtube.com/channel/UCAAPXtnzlg9krw6MtNbfR-g,7115,54938,211,00:14:09,2024-09-03T06:30:16-07:00,http://img.youtube.com/vi/ivXL9DDEh8s/maxresdefault.jpg,1,2024-09-04
Fui buscar meu carro novo 🔥 * 0 km *,UCxXe1Bjpw5Y00YzqZc6CGRw,http://www.youtube.com/channel/UCxXe1Bjpw5Y00YzqZc6CGRw,14146,177505,218,00:20:58,2024-08-31T14:28:28-07:00,http://img.youtube.com/vi/T-c3qxML4Fw/maxresdefault.jpg,1,2024-09-02
Endrick faz gol em ESTREIA DOS SONHOS pelo Real Madrid e DECRETA vitória sobre time de Ronaldo,UCw5-xj3AKqEizC7MvHaIPqA,http://www.youtube.com/channel/UCw5-xj3AKqEizC7MvHaIPqA,155162,3593690,9800,00:10:10,2024-08-25T10:39:15-07:00,http://img.youtube.com/vi/J5Yn_NZi0g0/maxresdefault.jpg,1,2024-09-02
Jogos que Realmente te dão Robux,UC8cP4kV1GIbxRH-mlilSniQ,http://www.youtube.com/channel/UC8cP4kV1GIbxRH-mlilSniQ,3959,124936,215,00:11:12,2024-08-31T10:00:11-07:00,http://img.youtube.com/vi/9er969ImVF8/maxresdefault.jpg,1,2024-09-02
Epic Tabletop RPG Adventure Awaits! Clash of Clans New Season,UCD1Em4q90ZUK2R5HKesszJg,http://www.youtube.com/channel/UCD1Em4q90ZUK2R5HKesszJg,75248,4350188,4600,00:00:53,2024-09-01T01:00:05-07:00,http://img.youtube.com/vi/ak6acH-vhvc/maxresdefault.jpg,1,2024-09-02
Goleiro Hugo se emociona com palavras de Craque Neto sobre Corinthians,UC896QaWKoSGdZTmy9rHyU_g,http://www.youtube.com/channel/UC896QaWKoSGdZTmy9rHyU_g,12593,307471,511,00:12:41,2024-09-01T16:12:03-07:00,http://img.youtube.com/vi/0nn9R-yNxkQ/maxresdefault.jpg,1,2024-09-02
COMO ESSA UNIÃO DESTRUIU O SERVIDOR,UCJIl6Ahgkfwg1DRYcg-kY3g,http://www.youtube.com/channel/UCJIl6Ahgkfwg1DRYcg-kY3g,17205,260302,1200,00:16:29,2024-09-02T05:30:04-07:00,http://img.youtube.com/vi/5zzIgWDENO8/maxresdefault.jpg,1,2024-09-02
Liniker - CAJU (Visual Experience),UCi0dHgtTQ4CNqq_c-8TEYzQ,http://www.youtube.com/channel/UCi0dHgtTQ4CNqq_c-8TEYzQ,3544,94121,82,00:04:31,2024-08-30T14:02:21-07:00,http://img.youtube.com/vi/9nbYJm9FYa0/maxresdefault.jpg,1,2024-09-02
ADIVINHE SUA NAMORADA DE OLHOS VENDADOS *Deu ruim !,UC63iwP6BtIjxB6xn1GKR6Lw,http://www.youtube.com/channel/UC63iwP6BtIjxB6xn1GKR6Lw,31054,792149,2200,00:15:17,2024-09-02T08:00:10-07:00,http://img.youtube.com/vi/EoSnASNNB2w/maxresdefault.jpg,1,2024-09-02
Sued Silva | Reacende a Chama [Clipe Oficial],UCpf5YXmzGHC4m5uLCdlrrfA,http://www.youtube.com/channel/UCpf5YXmzGHC4m5uLCdlrrfA,66111,1928619,1900,00:10:05,2024-08-20T08:00:29-07:00,http://img.youtube.com/vi/MfzYPahyqYo/maxresdefault.jpg,1,2024-09-02
Descúbrelo TODO sobre nosotros. ¿Quién ganará?,UCtxD0x6AuNNqdXO9Wp5GHew,http://www.youtube.com/channel/UCtxD0x6AuNNqdXO9Wp5GHew,3698950,43123955,202000,00:02:55,2024-08-21T06:12:46-07:00,http://img.youtube.com/vi/I74FAkaL1Fk/maxresdefault.jpg,1,2024-09-02
Um Novo Começo,UCSRhHqL5nIlhyt1-LIzsXJA,http://www.youtube.com/channel/UCSRhHqL5nIlhyt1-LIzsXJA,65918,494521,10000,00:02:13,2024-09-01T08:00:07-07:00,http://img.youtube.com/vi/WqT8LnucCEI/maxresdefault.jpg,1,2024-09-02
"Furou o balão, TROCOU A GAROTA | Ep. 3",UCWwE79E_-in6WnX9qm2oFcw,http://www.youtube.com/channel/UCWwE79E_-in6WnX9qm2oFcw,125693,2224694,5100,00:30:03,2024-08-29T14:28:51-07:00,http://img.youtube.com/vi/OeIUnkScjFo/maxresdefault.jpg,1,2024-09-02
FIZ UMA TIROLESA GIGANTE NO LAGO DA FAZENDA,UC_XGgRFoktKUXZVD1_tp7EA,http://www.youtube.com/channel/UC_XGgRFoktKUXZVD1_tp7EA,18133,231590,197,00:09:14,2024-09-01T13:00:02-07:00,http://img.youtube.com/vi/56QckdcoAM8/maxresdefault.jpg,1,2024-09-02
Ainda Estou Aqui | Trailer | Em breve nos cinemas,UC9NXpIA01HVRhYgcEbs80Nw,http://www.youtube.com/channel/UC9NXpIA01HVRhYgcEbs80Nw,2649,42308,132,00:01:10,2024-09-02T06:36:54-07:00,http://img.youtube.com/vi/PYnMAObH8NY/maxresdefault.jpg,1,2024-09-02
LE SSERAFIM (르세라핌) 'CRAZY' OFFICIAL MV,UC3IZKseVpdzPSBaWxBxundA,http://www.youtube.com/channel/UC3IZKseVpdzPSBaWxBxundA,640874,31216082,40000,00:02:50,2024-08-29T20:58:08-07:00,http://img.youtube.com/vi/n6B5gQXlB-0/maxresdefault.jpg,1,2024-09-02
A Praça é Nossa homenageia Silvio Santos | Reveja nossa estreia no SBT,UCMUcTceXYCuCyGTNMNvc1qQ,http://www.youtube.com/channel/UCMUcTceXYCuCyGTNMNvc1qQ,104481,2619828,4000,01:09:48,2024-08-23T11:11:36-07:00,http://img.youtube.com/vi/6wlO9wVLn98/maxresdefault.jpg,1,2024-09-02
CASIMIRO REAGE: GOLS DO BRASILEIRÃO 2024 - RODADA 25 | Cortes do Casimito,UC4aiJNDUviw_vMhdCq5Kq1Q,http://www.youtube.com/channel/UC4aiJNDUviw_vMhdCq5Kq1Q,12706,103183,365,00:27:08,2024-09-02T04:45:05-07:00,http://img.youtube.com/vi/qry79w0UcPk/maxresdefault.jpg,1,2024-09-02
Gabriela Rocha - Deus Está Aqui (Medley) (Ao Vivo),UC4t2mdI8uAiJDJSRjiWJT1Q,http://www.youtube.com/channel/UC4t2mdI8uAiJDJSRjiWJT1Q,46964,898257,1600,00:04:42,2024-08-26T13:00:07-07:00,http://img.youtube.com/vi/2Xs4Qq_wr3k/maxresdefault.jpg,1,2024-09-02
"Salah dá show, Luis Díaz também brilha, e Liverpool vence o Manchester United pela Premier League",UCw5-xj3AKqEizC7MvHaIPqA,http://www.youtube.com/channel/UCw5-xj3AKqEizC7MvHaIPqA,35211,732194,2300,00:10:16,2024-09-01T10:21:37-07:00,http://img.youtube.com/vi/dVnc3pjF59s/maxresdefault.jpg,1,2024-09-02
Beatriz Haddad Maia vs. Anna Kalinskaya Highlights | 2024 US Open Round 3,UCXbboag48Qlr78zzz6SkzkQ,http://www.youtube.com/channel/UCXbboag48Qlr78zzz6SkzkQ,1009,97907,208,00:02:47,2024-08-31T22:00:06-07:00,http://img.youtube.com/vi/C0RMGRmk8YI/maxresdefault.jpg,1,2024-09-02
VIRAMOS A TURMA DO SCOOBY-DOO POR 24 HORAS,UC63iwP6BtIjxB6xn1GKR6Lw,http://www.youtube.com/channel/UC63iwP6BtIjxB6xn1GKR6Lw,50888,2301340,2600,00:12:04,2024-08-31T08:00:46-07:00,http://img.youtube.com/vi/lsPcZjHsN3Y/maxresdefault.jpg,1,2024-09-02
Coloquei o GOKU no FIFA.. E a Cada GOL = +1 OVERALL,UCD9cMUkHNW380sh3_YedolA,http://www.youtube.com/channel/UCD9cMUkHNW380sh3_YedolA,19877,726898,824,00:37:36,2024-08-23T12:30:07-07:00,http://img.youtube.com/vi/qiqffslLsgs/maxresdefault.jpg,1,2024-09-02
